render_tick,elapsed_seconds
1140,20.430235760
1141,20.448165265
1142,20.466023949
1143,20.483547155
1144,20.498985105
1145,20.517051493
1146,20.533999687
1147,20.553123198
1148,20.571032773
1149,20.586765900
1150,20.603440068
1151,20.621001415
1152,20.638985331
1153,20.658087162
1154,20.675383664
1155,20.692054881
1156,20.710097998
1157,20.726962410
1158,20.742965153
1159,20.760999480
1160,20.779088139
1161,20.796250297
1162,20.815996983
1163,20.835012792
1164,20.852113669
1165,20.871470356
1166,20.888014810
1167,20.905058766
1168,20.922993771
1169,20.941020698
1170,20.957986142
1171,20.976094061
1172,20.992095254
1173,21.008044296
1174,21.028048107
1175,21.045113153
1176,21.062314792
1177,21.080081884
1178,21.098036129
1179,21.114972103
1180,21.133005650
1181,21.149064454
1182,21.166016808
1183,21.182162263
1184,21.199373223
1185,21.218061385
1186,21.236632745
1187,21.254137280
1188,21.272937205
1189,21.289949050
1190,21.307020936
1191,21.323919018
1192,21.342993039
1193,21.363029210
1194,21.382108021
1195,21.399015063
1196,21.417002670
1197,21.434061066
1198,21.452036932
1199,21.473335151
1200,21.490640032
1201,21.507192478
1202,21.525100083
1203,21.541947094
1204,21.558000498
1205,21.576079396
1206,21.593211494
1207,21.611189500
1208,21.630023705
1209,21.646006278
1210,21.664185698
1211,21.683141226
1212,21.700021048
1213,21.716366348
1214,21.733051716
1215,21.750203344
1216,21.768040977
1217,21.784031920
1218,21.801261239
1219,21.818074470
1220,21.835003943
1221,21.853552092
1222,21.872796647
1223,21.889538365
1224,21.908070234
1225,21.924425194
1226,21.943015044
1227,21.962424232
1228,21.980086401
1229,21.997203698
1230,22.014205813
1231,22.031367191
1232,22.047186780
1233,22.066152168
1234,22.084194956
1235,22.102388277
1236,22.122098011
1237,22.141250763
1238,22.160021947
1239,22.176108202
1240,22.192199486
1241,22.209055978
1242,22.226178585
1243,22.243005496
1244,22.263079189
1245,22.280255667
1246,22.297029607
1247,22.313253664
1248,22.330065265
1249,22.347074100
1250,22.366281723
1251,22.384069496
1252,22.402124394
1253,22.419237331
1254,22.436015871
1255,22.454652951
1256,22.470582492
1257,22.488704511
1258,22.507426114
1259,22.523018148
1260,22.542151800
1261,22.560035384
1262,22.577486428
1263,22.594007532
1264,22.612181683
1265,22.631056600
1266,22.651094851
1267,22.667030762
1268,22.685139312
1269,22.704030167
1270,22.720052600
1271,22.736067143
1272,22.753089348
1273,22.771118037
1274,22.790086924
1275,22.806166929
1276,22.825033444
1277,22.843103882
1278,22.859840552
1279,22.877249736
1280,22.894851273
1281,22.912981103
1282,22.930000718
1283,22.945867568
1284,22.962971795
1285,22.980125333
1286,22.997917885
1287,23.013897747
1288,23.029867499
1289,23.046875074
1290,23.064253508
1291,23.081167750
1292,23.096913897
