frame,view,aa,requested_aa,screen_percentage,temporal_upsampling,dynamic_res,gi,reflections,vsm,nanite,ray_tracing,tsr_supported,external_upscaler,width,height,feature_sm6,nanite_supported,nanite_enabled,vsm_enabled,lumen_supported
152,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
153,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
154,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
155,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
156,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
157,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
158,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
159,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
160,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
161,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
162,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
163,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
164,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
165,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
166,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
167,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
168,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
169,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
170,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
171,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
172,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
173,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
174,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
175,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
176,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
