frame,time,phase,x,y,z,foot_x,foot_y,foot_z,visible,tick
1226,5.668380,4,6686.1146,-882.3538,90.0000,29.8014,2.0042,23.9669,1,1
1227,5.681073,4,6686.1146,-875.7537,90.0000,24.5703,3.8015,22.4142,1,1
1228,5.694004,4,6686.1146,-869.0297,90.0000,18.7765,4.8951,20.2502,1,1
1229,5.706387,4,6686.1146,-862.5906,90.0000,12.8620,5.6077,18.7620,1,1
1230,5.719538,4,6686.1146,-855.7521,90.0000,7.0478,5.8074,16.8716,1,1
1231,5.733045,4,6686.1146,-848.7284,90.0000,0.8208,5.8228,14.9165,1,1
1232,5.745936,4,6686.1146,-842.0251,90.0000,-5.5005,5.8046,13.5454,1,1
1233,5.758311,4,6686.1146,-835.5899,90.0000,-10.9638,5.5553,11.5336,1,1
1234,5.770304,4,6686.1146,-829.3534,90.0000,-16.8171,5.5265,10.2901,1,1
1235,5.782302,4,6686.1146,-823.1144,90.0000,-22.1899,5.2024,9.4752,1,1
1236,5.794576,4,6686.1146,-816.7322,90.0000,-26.4758,4.2477,8.9158,1,1
1237,5.806711,4,6686.1146,-810.4221,90.0000,-30.7472,3.6872,8.7405,1,1
1238,5.819823,4,6686.1146,-803.6034,90.0000,-32.4002,2.9435,9.0813,1,1
1239,5.832062,4,6686.1146,-797.2395,90.0000,-32.5736,2.1887,9.2569,1,1
1240,5.844316,4,6686.1146,-790.8673,90.0000,-32.7252,1.4993,9.3584,1,1
1241,5.856810,4,6686.1146,-784.3703,90.0000,-30.3057,1.6202,8.1626,1,1
1242,5.868757,4,6686.1146,-778.1577,90.0000,-27.9720,1.5462,7.0248,1,1
1243,5.880607,4,6686.1146,-771.9960,90.0000,-25.2547,1.0829,6.1324,1,1
1244,5.893839,4,6686.1146,-765.1156,90.0000,-21.4258,1.1403,6.1324,1,1
1245,5.906244,4,6686.1146,-758.6645,90.0000,-17.0312,0.3082,6.1324,1,1
1246,5.918354,4,6686.1146,-752.3673,90.0000,-12.3441,-0.1699,6.1324,1,1
1247,5.930528,4,6686.1146,-746.0370,90.0000,-6.7764,-0.5018,6.1324,1,1
1248,5.942826,4,6686.1146,-739.6423,90.0000,-0.9893,-0.8158,6.1324,1,1
1249,5.954640,4,6686.1146,-733.4989,90.0000,4.9659,-0.2220,6.1324,1,1
1250,5.966741,4,6686.1146,-727.2062,90.0000,11.1571,0.5375,6.1324,1,1
1251,5.979536,4,6686.1146,-720.5531,90.0000,17.5590,1.0119,6.1324,1,1
1252,5.992252,4,6686.1146,-713.9403,90.0000,23.2249,1.2631,6.1324,1,1
1253,6.004863,4,6686.1146,-707.3826,90.0000,28.9391,1.5930,6.1324,1,1
1254,6.018165,4,6686.1146,-700.4660,90.0000,33.8642,1.4602,6.1324,1,1
1255,6.030971,4,6686.1146,-693.8067,90.0000,37.8263,1.2728,6.6104,1,1
1256,6.043824,4,6686.1146,-687.1230,90.0000,41.8592,1.5347,8.0414,1,1
1257,6.056276,4,6686.1146,-680.6482,90.0000,44.4962,0.8593,10.3551,1,1
1258,6.069084,4,6686.1146,-673.9880,90.0000,47.2052,0.5488,13.1576,1,1
1259,6.082259,4,6686.1146,-667.1371,90.0000,49.3208,0.6170,16.2520,1,1
1260,6.095325,4,6686.1146,-660.3426,90.0000,50.1519,0.5339,19.4419,1,1
1261,6.107871,4,6686.1146,-653.8185,90.0000,50.7556,0.4847,22.5991,1,1
1262,6.120289,4,6686.1146,-647.3611,90.0000,50.2023,0.7915,22.6951,1,1
1263,6.132649,4,6686.1146,-640.9340,90.0000,49.1852,1.1947,24.8838,1,1
1264,6.144236,4,6686.1146,-634.9087,90.0000,48.1183,1.4964,27.5137,1,1
1265,6.156731,4,6686.1146,-628.4116,90.0000,45.5828,2.2583,28.6802,1,1
1266,6.169179,4,6686.1146,-621.9387,90.0000,43.0442,2.9854,29.0497,1,1
1267,6.182153,4,6686.1146,-615.1922,90.0000,39.7043,4.1079,28.8337,1,1
1268,6.195049,4,6686.1146,-608.4860,90.0000,35.3596,5.3825,27.2845,1,1
1269,6.208470,4,6686.1146,-601.5074,90.0000,30.3789,6.5669,26.3495,1,1
1270,6.223403,4,6686.1146,-593.7419,90.0000,24.1912,7.4302,23.8048,1,1
1271,6.235529,4,6686.1146,-587.4363,90.0000,18.6377,7.9208,21.7093,1,1
1272,6.247842,4,6686.1146,-581.0340,90.0000,12.7669,8.1057,19.7005,1,1
1273,6.259794,4,6686.1146,-574.8185,90.0000,7.3665,7.9204,17.1588,1,1
1274,6.272420,4,6686.1146,-568.2534,90.0000,0.8100,7.8742,15.1026,1,1
1275,6.284849,4,6686.1146,-561.7899,90.0000,-5.0705,7.5840,13.0432,1,1
1276,6.297315,4,6686.1146,-555.3077,90.0000,-11.1515,7.3329,10.9409,1,1
1277,6.309782,4,6686.1146,-548.8248,90.0000,-17.6450,7.1906,9.8617,1,1
1278,6.321904,4,6686.1146,-542.5213,90.0000,-21.9816,6.1008,8.9235,1,1
1279,6.334137,4,6686.1146,-536.1606,90.0000,-26.2142,5.0911,8.5486,1,1
1280,6.345995,4,6686.1146,-529.9941,90.0000,-29.6492,4.4557,8.4990,1,1
1281,6.357927,4,6686.1146,-523.7895,90.0000,-29.7495,3.4836,8.8106,1,1
1282,6.370629,4,6686.1146,-517.1845,90.0000,-29.7498,2.5333,8.8774,1,1
1283,6.383017,4,6686.1146,-510.7427,90.0000,-28.7185,2.0386,8.4774,1,1
1284,6.396924,4,6686.1146,-503.5113,90.0000,-25.9036,1.5904,7.1292,1,1
1285,6.409807,4,6686.1146,-496.8121,90.0000,-23.2855,0.7700,6.1324,1,1
1286,6.421903,4,6686.1146,-490.5222,90.0000,-19.8230,0.2857,6.1324,1,1
1287,6.434678,4,6686.1146,-483.8790,90.0000,-15.7772,-0.4350,6.1324,1,1
1288,6.447974,4,6686.1146,-476.9652,90.0000,-10.7167,-1.4940,6.1324,1,1
1289,6.460950,4,6686.1146,-470.2177,90.0000,-5.0191,-1.7982,6.1324,1,1
1290,6.473584,4,6686.1146,-463.6477,90.0000,1.0451,-2.0049,6.1324,1,1
1291,6.486975,4,6686.1146,-456.6844,90.0000,7.7272,-1.4316,6.1324,1,1
1292,6.499412,4,6686.1146,-450.2174,90.0000,14.1857,-0.5062,6.1324,1,1
1293,6.512298,4,6686.1146,-443.5168,90.0000,20.5801,-0.0282,6.1324,1,1
1294,6.524768,4,6686.1146,-437.0324,90.0000,26.0216,0.0231,6.1324,1,1
1295,6.537660,4,6686.1146,-430.3283,90.0000,31.8549,0.3830,6.1324,1,1
1296,6.550821,4,6686.1146,-423.4848,90.0000,36.9775,0.1657,6.1324,1,1
1297,6.563413,4,6686.1146,-416.9371,90.0000,41.2692,-0.0448,6.1324,1,1
1298,6.576622,4,6686.1146,-410.0683,90.0000,45.7583,0.3974,7.4698,1,1
1299,6.588375,4,6686.1146,-403.9566,90.0000,48.1122,-0.3563,9.6951,1,1
1300,6.601024,4,6686.1146,-397.3794,90.0000,50.4990,-0.7731,12.7606,1,1
1301,6.613143,4,6686.1146,-391.0770,90.0000,52.3366,-0.8210,15.8236,1,1
1302,6.625166,4,6686.1146,-384.8255,90.0000,52.2059,-0.9594,18.7095,1,1
1303,6.637300,4,6686.1146,-378.5155,90.0000,51.8793,-1.1143,21.7137,1,1
1304,6.649403,4,6686.1146,-372.2218,90.0000,50.8155,-1.0751,23.0817,1,1
1305,6.661490,4,6686.1146,-365.9366,90.0000,48.9659,-0.6687,24.7835,1,1
1306,6.674015,4,6686.1146,-359.4237,90.0000,46.9835,-0.3268,26.6665,1,1
1307,6.686843,4,6686.1146,-352.7533,90.0000,44.0379,0.4494,26.8613,1,1
1308,6.699453,4,6686.1146,-346.1959,90.0000,40.7830,1.3988,26.6181,1,1
1309,6.711899,4,6686.1146,-339.7243,90.0000,37.3821,2.4459,26.5166,1,1
1310,6.724823,4,6686.1146,-333.0037,90.0000,32.8630,3.7502,24.7127,1,1
1311,6.737044,4,6686.1146,-326.6485,90.0000,28.1368,4.8506,23.4583,1,1
1312,6.750540,4,6686.1146,-319.6310,90.0000,22.6298,5.6525,21.6984,1,1
1313,6.762632,4,6686.1146,-313.3428,90.0000,17.3203,6.0261,19.8210,1,1
1314,6.775910,4,6686.1146,-306.4384,90.0000,11.0128,6.2814,18.4045,1,1
1315,6.788661,4,6686.1146,-299.8080,90.0000,5.7133,6.0995,16.4118,1,1
1316,6.800677,4,6686.1146,-293.5595,90.0000,0.1259,5.9597,14.7463,1,1
1317,6.813253,4,6686.1146,-287.0199,90.0000,-5.9091,5.8024,13.3983,1,1
1318,6.825818,4,6686.1146,-280.4863,90.0000,-11.4722,5.5120,11.3948,1,1
1319,6.838584,5,6686.1146,-273.8481,90.0000,-17.6944,5.4608,10.1711,1,1
1320,6.851156,5,6685.0777,-267.9680,90.0000,-22.9537,4.9976,9.3085,1,1
1321,7.036020,5,6588.9487,-267.9680,90.0000,7.8739,-34.2419,10.4903,1,1
1322,7.042858,5,6585.3926,-267.9680,90.0000,8.0981,-34.9415,10.4894,1,1
1323,7.047136,5,6583.1679,-267.9680,90.0000,8.2183,-35.2770,10.4383,1,1
1324,7.059137,5,6576.9274,-267.9680,90.0000,8.6303,-34.3418,10.2137,1,1
1325,7.072404,5,6570.0286,-267.9680,90.0000,8.8885,-31.3707,9.4418,1,1
1326,7.085250,5,6563.3488,-267.9680,90.0000,9.1539,-28.0469,8.8186,1,1
1327,7.097788,5,6556.8292,-267.9680,90.0000,8.8620,-23.3976,7.7275,1,1
1328,7.110037,5,6550.4598,-267.9680,90.0000,8.7740,-18.4996,6.9709,1,1
1329,7.122124,5,6544.1746,-267.9680,90.0000,8.7134,-13.0596,6.1324,1,1
1330,7.134739,5,6537.6146,-267.9680,90.0000,8.3706,-6.8440,6.1324,1,1
1331,7.147449,5,6531.0055,-267.9680,90.0000,8.2798,0.0010,6.1324,1,1
1332,7.159863,5,6524.5503,-267.9680,90.0000,8.3423,5.6451,6.1324,1,1
1333,7.171952,5,6518.2638,-267.9680,90.0000,8.4646,10.8107,6.1324,1,1
1334,7.184177,5,6511.9065,-267.9680,90.0000,8.6680,16.0911,7.3202,1,1
1335,7.196887,5,6505.2977,-267.9680,90.0000,8.8451,17.0173,8.5880,1,1
1336,7.209628,5,6498.6721,-267.9680,90.0000,9.0748,17.7872,9.9541,1,1
1337,7.222351,5,6492.0565,-267.9680,90.0000,9.3212,17.2547,11.0120,1,1
1338,7.234627,5,6485.6726,-267.9680,90.0000,9.4672,14.4760,11.5730,1,1
1339,7.246782,5,6479.3519,-267.9680,90.0000,9.4539,11.7270,12.4920,1,1
1340,7.258538,5,6473.2392,-267.9680,90.0000,9.8435,7.8507,12.8436,1,1
1341,7.270182,5,6467.1840,-267.9680,90.0000,10.4395,3.2407,13.2029,1,1
1342,7.282243,5,6460.9122,-267.9680,90.0000,10.9466,-1.4591,14.0705,1,1
1343,7.294418,5,6454.5817,-267.9680,90.0000,11.8013,-6.8376,13.9474,1,1
1344,7.306508,5,6448.2944,-267.9680,90.0000,12.7468,-12.4089,13.9556,1,1
1345,7.318694,5,6441.9579,-267.9680,90.0000,13.6377,-17.8611,14.5715,1,1
1346,7.330994,5,6435.5618,-267.9680,90.0000,14.2908,-22.8433,14.0430,1,1
1347,7.342963,5,6429.3379,-267.9680,90.0000,15.1267,-27.8375,14.1949,1,1
1348,7.354862,5,6423.1507,-267.9680,90.0000,15.5898,-32.1987,14.8082,1,1
1349,7.366940,5,6416.8699,-267.9680,90.0000,15.4403,-34.7883,14.3341,1,1
1350,7.378748,5,6410.7299,-267.9680,90.0000,15.0859,-37.6295,14.8895,1,1
1351,7.391475,5,6404.1120,-267.9680,90.0000,14.2293,-39.4406,15.1205,1,1
1352,7.403623,5,6397.7950,-267.9680,90.0000,12.7870,-40.4899,15.6342,1,1
1353,7.416709,5,6390.9903,-267.9680,90.0000,11.1842,-41.8699,16.7066,1,1
1354,7.428908,5,6384.6466,-267.9680,90.0000,9.6260,-41.9110,17.1211,1,1
