frame,wall_seconds,wall_delta_ms,sim_delta_ms,stage,phase,cycle,game_ms,render_ms,rhi_ms,gpu_ms,game_wait_ms,render_wait_ms,swap_ms,pawn_count,autonomous_pawns,player_x,player_y,player_z,view_yaw,health,ammo,pressure,active_audio,active_vfx
565,1.069740672,18.655716,19.808631,warmup,terminal,1,2.925000,19.146000,1.341000,5.964000,16.666000,0.553000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
566,1.089151025,19.410353,18.672756,warmup,terminal,1,2.851000,17.231001,1.415000,5.999000,15.766000,0.925000,0.016000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
567,1.108427295,19.276270,19.374903,warmup,terminal,1,2.827000,19.896000,1.219000,5.976000,16.561001,1.118000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
568,1.127526801,19.099506,19.290550,warmup,terminal,1,2.951000,18.264000,1.289000,5.953000,16.398001,0.387000,0.018000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
569,1.146245719,18.718918,19.098446,warmup,terminal,1,2.972000,18.000999,1.306000,6.039000,16.134001,0.798000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
570,1.164912476,18.666757,18.712158,warmup,terminal,1,2.793000,17.688999,1.237000,6.022000,15.760000,0.933000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
571,1.183810968,18.898492,18.667786,warmup,terminal,1,3.046000,17.466000,1.257000,6.094000,15.820000,0.671000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
572,1.203071247,19.260279,18.944943,warmup,terminal,1,2.829000,18.195000,1.057000,6.000000,15.992000,0.460000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
573,1.221346535,18.275288,19.220768,warmup,terminal,1,2.864000,18.709999,1.171000,6.036000,16.412001,0.442000,0.018000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
574,1.240565905,19.219370,18.295640,warmup,terminal,1,3.021000,18.492001,1.431000,6.021000,15.445000,0.421000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
575,1.257958974,17.393069,19.296220,warmup,terminal,1,3.199000,17.899000,1.714000,6.032000,16.014999,0.434000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
576,1.274919175,16.960201,17.355119,warmup,terminal,1,3.342000,16.863001,1.477000,5.980000,14.108000,0.620000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
577,1.297583257,22.664082,16.956670,warmup,terminal,1,3.729000,15.895000,1.890000,6.000000,13.468000,0.569000,0.010000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
