render_tick,elapsed_seconds,file_cache,automatic
127,2.741951111,0,4293
128,2.758178939,0,4279
129,2.775859189,0,4272
130,2.791818720,0,4265
131,2.811346141,0,4253
132,2.829535272,0,4246
133,2.847847155,0,4238
134,2.869486232,0,4232
135,2.883137664,0,4225
136,2.900839483,0,4217
137,2.917767557,0,4210
138,2.935794414,0,4204
139,2.952582784,0,4195
140,2.971529972,0,4188
141,2.985860108,0,4182
142,3.004599611,0,4171
143,3.021157416,0,4159
144,3.038527059,0,4153
145,3.054882599,0,4147
146,3.073033700,0,4140
147,3.091031707,0,4132
148,3.107915548,0,4126
149,3.125872614,0,4119
150,3.142740716,0,4110
151,3.160564189,0,4097
152,3.175973279,0,4091
153,3.193069147,0,4082
154,3.210758386,0,4081
155,3.227327422,0,4076
156,3.246118106,0,4076
157,3.262134389,0,4076
158,3.279849149,0,4071
159,3.301818793,0,4066
160,3.314753259,0,4061
161,3.331755553,0,4058
162,3.350025636,0,4048
163,3.365959987,0,4041
164,3.383837342,0,4038
165,3.400026248,0,4037
166,3.417795350,0,4036
167,3.436959613,0,4033
168,3.452965596,0,4033
169,3.471780411,0,4032
170,3.484936680,0,4032
171,3.504235817,0,4031
172,3.519074423,0,4030
173,3.537175963,0,4030
174,3.552925279,0,4030
175,3.568817950,0,4027
176,3.587996672,0,4023
177,3.607855340,0,4022
178,3.625440609,0,4020
179,3.643059196,0,4017
180,3.658832864,0,4017
181,3.675967422,0,4014
182,3.693810146,0,4007
183,3.710782450,0,4004
184,3.727775774,0,4000
185,3.746835724,0,3998
186,3.764774820,0,3993
187,3.781850896,0,3991
188,3.798766209,0,3989
189,3.817860270,0,3980
190,3.835787066,0,3977
191,3.853786202,0,3969
192,3.869989619,0,3961
193,3.887778082,0,3956
194,3.904778997,0,3954
195,3.920789210,0,3949
196,3.936784032,0,3942
197,3.952815356,0,3932
198,3.970125567,0,3921
199,3.986823825,0,3913
200,4.003837560,0,3908
201,4.021798576,0,3901
202,4.040864967,0,3894
203,4.058796672,0,3892
204,4.076559314,0,3890
205,4.093818764,0,3886
206,4.111815071,0,3883
207,4.128833776,0,3878
208,4.145795960,0,3877
209,4.163098151,0,3876
210,4.179937473,0,3872
211,4.198797749,0,3868
212,4.214838832,0,3865
213,4.232815889,0,3862
214,4.249893595,0,3858
215,4.267812760,0,3856
216,4.285896629,0,3854
217,4.302806222,0,3851
218,4.319795456,0,3847
219,4.337794733,0,3844
220,4.356803792,0,3842
221,4.375846662,0,3837
222,4.391899736,0,3834
223,4.409817701,0,3832
224,4.427841758,0,3830
225,4.444829093,0,3826
226,4.465210542,0,3822
227,4.482828340,0,3814
228,4.499995669,0,3810
229,4.517931514,0,3805
230,4.534937679,0,3801
231,4.550948792,0,3795
232,4.572105208,0,3788
233,4.589544213,0,3787
234,4.609387210,0,3780
235,4.626058798,0,3778
236,4.643164025,0,3777
237,4.663021623,0,3771
238,4.680576520,0,3766
239,4.698968075,0,3765
240,4.715985050,0,3761
241,4.733962837,0,3757
242,4.751971674,0,3756
243,4.771646468,0,3754
244,4.786659209,0,3749
245,4.802050608,0,3747
246,4.818960241,0,3744
247,4.835940365,0,3740
248,4.854058344,0,3739
249,4.871839237,0,3735
250,4.889384953,0,3731
251,4.907474962,0,3730
252,4.922902952,0,3729
253,4.940941930,0,3724
254,4.959186182,0,3720
255,4.975925331,0,3718
256,4.993934838,0,3713
257,5.011938635,0,3707
258,5.027892817,0,3707
259,5.044946703,0,3701
260,5.061923497,0,3699
261,5.078002251,0,3695
262,5.094890584,0,3689
263,5.111050280,0,3687
264,5.128192508,0,3684
265,5.146050102,0,3677
266,5.163895355,0,3674
267,5.181842091,0,3671
268,5.199911819,0,3669
269,5.216114936,0,3666
270,5.234012431,0,3663
271,5.249919912,0,3659
272,5.266130849,0,3653
273,5.283993473,0,3643
274,5.304956385,0,3639
275,5.322912241,0,3633
276,5.339068267,0,3628
277,5.356067892,0,3622
278,5.374078599,0,3619
279,5.392059815,0,3612
280,5.411022463,0,3611
281,5.427148969,0,3608
282,5.443924749,0,3607
283,5.460924833,0,3605
284,5.476997198,0,3596
285,5.494923433,0,3593
286,5.511949378,0,3584
287,5.530016406,0,3580
288,5.548530134,0,3576
289,5.566938761,0,3571
290,5.585071180,0,3560
291,5.602931844,0,3554
292,5.620559712,0,3552
293,5.636914853,0,3548
294,5.652915376,0,3541
295,5.671849222,0,3532
296,5.689980233,0,3530
