render_tick,elapsed_seconds
237,4.642615081
238,4.660581198
239,4.677587094
240,4.694530508
241,4.711481533
242,4.729515381
243,4.746550138
244,4.766521770
245,4.786632416
246,4.805717559
247,4.823544773
248,4.840517648
249,4.859538739
250,4.876636467
251,4.893529680
252,4.909529763
253,4.925539835
254,4.941553469
255,4.960678182
256,4.977720948
257,4.994548050
258,5.011805241
259,5.028624012
260,5.046589750
261,5.064572287
262,5.081579003
263,5.098633150
264,5.114778045
265,5.131549866
266,5.150697170
267,5.167544762
268,5.185142640
269,5.202605897
270,5.218527568
271,5.236569267
272,5.253577122
273,5.274292222
274,5.292592687
275,5.312560060
276,5.330551608
277,5.348817211
278,5.365717865
279,5.381653316
280,5.399515131
281,5.417576750
282,5.434559776
283,5.451579441
284,5.471287878
285,5.487607388
286,5.505606676
287,5.523555333
288,5.541643033
289,5.559699492
290,5.600021076
291,5.607069806
292,5.625509224
293,5.642564861
294,5.660717582
295,5.679575920
296,5.695642764
297,5.712515097
298,5.730497035
299,5.747511860
300,5.763680027
301,5.781551182
302,5.799497759
303,5.816570886
304,5.833572511
305,5.849692166
306,5.865637378
307,5.884831553
308,5.901563122
309,5.920617784
310,5.939590385
311,5.957637484
312,5.975502459
313,5.991622224
314,6.007656888
315,6.024671973
316,6.042566039
317,6.061619101
318,6.078635537
319,6.095595171
320,6.113621580
321,6.131034324
322,6.148508201
323,6.166642612
324,6.184675011
325,6.201683346
326,6.220016951
327,6.241688543
328,6.255230949
329,6.271802466
330,6.287512341
331,6.303504273
332,6.321543992
333,6.337509364
334,6.355552843
335,6.377076912
336,6.393584705
337,6.411584914
338,6.429671454
339,6.448599363
340,6.467349478
341,6.484290012
342,6.502518985
343,6.521474465
344,6.539804541
345,6.557504772
346,6.573998436
347,6.590294875
348,6.606749358
349,6.625533224
350,6.642526029
351,6.660675320
352,6.678533935
353,6.697496745
354,6.715507423
355,6.734497404
356,6.751641822
357,6.769584809
358,6.786471172
359,6.803482487
360,6.821704800
361,6.839506954
362,6.857482621
363,6.876520763
364,6.893554859
365,6.913853340
366,6.930458516
367,6.948808392
368,6.967962576
369,6.985472223
370,7.004472453
371,7.022486832
372,7.040593732
373,7.057841304
374,7.075465363
375,7.094463423
376,7.111469299
377,7.128703239
378,7.146691527
379,7.164450670
380,7.182006558
381,7.199563596
382,7.216478799
383,7.235451809
384,7.252998838
385,7.270552135
386,7.288504472
387,7.307493612
388,7.323490285
389,7.339687902
390,7.357499366
391,7.375774090
392,7.393512522
393,7.410499577
394,7.428501225
395,7.445569252
396,7.465467193
397,7.482584361
398,7.500475147
399,7.517489363
400,7.536485443
401,7.555523115
402,7.573850400
403,7.591579342
404,7.610013369
405,7.628482028
406,7.645459843
407,7.662508840
408,7.679501895
409,7.697496413
410,7.716478223
411,7.732463175
412,7.749478581
413,7.765455833
414,7.783522533
415,7.800472187
416,7.819458087
417,7.836465713
418,7.853496359
419,7.874063694
420,7.943745214
421,7.946955917
422,7.965362465
423,7.983443864
424,8.001338860
425,8.019372129
426,8.037395207
427,8.054495325
428,8.073513016
429,8.092452235
430,8.111420525
431,8.129403173
432,8.147425991
433,8.163562137
434,8.183454498
435,8.201405665
436,8.219395613
437,8.237420781
438,8.254416336
439,8.273542950
440,8.293462651
441,8.311963340
442,8.330493801
443,8.348422257
444,8.366398615
445,8.382681714
446,8.401461269
447,8.419438367
448,8.437414344
449,8.455405642
450,8.474473514
451,8.492990274
452,8.509494058
453,8.529423800
454,8.545500424
455,8.564070675
456,8.583149327
457,8.600621993
458,8.618466058
459,8.636498957
460,8.657611625
461,8.675646744
462,8.691901262
463,8.708441427
464,8.725510714
465,8.741531437
466,8.760507397
467,8.777845190
468,8.795562462
469,8.813497778
470,8.829547082
471,8.849525345
472,8.868548456
473,8.887675760
474,8.904597183
475,8.922593731
476,8.942070642
477,8.960061380
478,8.975603113
479,8.993608351
480,9.011616059
481,9.027933668
482,9.044618137
483,9.063604867
484,9.079620720
485,9.098093908
486,9.113716853
487,9.130554514
488,9.148568852
489,9.165582498
490,9.184615560
491,9.201596174
492,9.219683025
493,9.235664217
494,9.253560542
495,9.269558234
496,9.288571125
497,9.304574008
498,9.320550540
499,9.337806012
500,9.354755986
501,9.373773507
502,9.389624175
503,9.406585560
