render_tick,elapsed_seconds,file_cache,automatic
432,8.147425991,0,2589
433,8.163562137,0,2584
434,8.183454498,0,2581
435,8.201405665,0,2574
436,8.219395613,0,2569
437,8.237420781,0,2561
438,8.254416336,0,2560
439,8.273542950,0,2548
440,8.293462651,0,2539
441,8.311963340,0,2526
442,8.330493801,0,2517
443,8.348422257,0,2510
444,8.366398615,0,2506
445,8.382681714,0,2503
446,8.401461269,0,2495
447,8.419438367,0,2491
448,8.437414344,0,2485
449,8.455405642,0,2480
450,8.474473514,0,2477
451,8.492990274,0,2472
452,8.509494058,0,2468
453,8.529423800,0,2461
454,8.545500424,0,2456
455,8.564070675,0,2455
456,8.583149327,0,2454
457,8.600621993,0,2453
458,8.618466058,0,2453
459,8.636498957,0,2453
460,8.657611625,0,2451
461,8.675646744,0,2450
462,8.691901262,0,2450
463,8.708441427,0,2450
464,8.725510714,0,2450
465,8.741531437,0,2450
466,8.760507397,0,2450
467,8.777845190,0,2450
468,8.795562462,0,2449
469,8.813497778,0,2448
470,8.829547082,0,2444
471,8.849525345,0,2440
472,8.868548456,0,2439
473,8.887675760,0,2436
474,8.904597183,0,2435
475,8.922593731,0,2433
476,8.942070642,0,2431
477,8.960061380,0,2430
478,8.975603113,0,2430
479,8.993608351,0,2429
480,9.011616059,0,2427
481,9.027933668,0,2424
482,9.044618137,0,2422
483,9.063604867,0,2419
484,9.079620720,0,2416
485,9.098093908,0,2411
486,9.113716853,0,2408
487,9.130554514,0,2407
488,9.148568852,0,2405
489,9.165582498,0,2405
490,9.184615560,0,2402
491,9.201596174,0,2400
492,9.219683025,0,2397
493,9.235664217,0,2396
494,9.253560542,0,2394
495,9.269558234,0,2393
496,9.288571125,0,2392
497,9.304574008,0,2392
498,9.320550540,0,2388
499,9.337806012,0,2383
500,9.354755986,0,2383
501,9.373773507,0,2381
502,9.389624175,0,2378
503,9.406585560,0,2374
504,9.423577425,0,2374
505,9.439719352,0,2374
506,9.457566975,0,2374
507,9.473613209,0,2373
508,9.493622873,0,2371
509,9.509570504,0,2370
510,9.527594133,0,2367
511,9.544601608,0,2366
512,9.560592140,0,2365
513,9.578255711,0,2364
514,9.593551357,0,2363
515,9.611570416,0,2361
516,9.629557963,0,2360
517,9.648593695,0,2353
518,9.667583955,0,2352
519,9.685659535,0,2350
520,9.703017899,0,2349
521,9.722715715,0,2346
522,9.742725488,0,2345
523,9.759573830,0,2343
524,9.776624847,0,2340
525,9.797798156,0,2335
526,9.815567779,0,2332
527,9.832846601,0,2329
528,9.852591298,0,2328
529,9.871614979,0,2324
530,9.887577411,0,2321
531,9.906592612,0,2318
532,9.923555967,0,2316
