frame,time,phase,age,camera_pitch,barrel_pitch,sample_pitch,aim_weight,jump_weight,x,y,z,foot_x,foot_y,foot_z
1083,3.169498,2,0.162778,0.000000,-11.982502,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.776622,8.683851,6.132371
1084,3.182218,2,0.175499,0.000000,-11.985540,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.773803,8.683295,6.132371
1085,3.194767,2,0.188047,0.000000,-11.988535,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.771029,8.682741,6.132371
1086,3.207416,2,0.200697,0.000000,-11.988048,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.770914,8.682389,6.132371
1087,3.219206,2,0.212486,0.000000,-11.985293,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.772568,8.682186,6.132371
1088,3.232823,2,0.226103,0.000000,-11.982105,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.774475,8.681956,6.132371
1089,3.245359,2,0.238639,0.000000,-11.971925,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.775899,8.681361,6.132371
1090,3.258282,2,0.251563,0.000000,-11.961105,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777346,8.680729,6.132371
1091,3.270610,2,0.263890,0.000000,-11.950582,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777872,8.680503,6.132371
1092,3.282597,2,0.275878,0.000000,-11.939961,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.776638,8.681058,6.132371
1093,3.294254,2,0.287535,0.000000,-11.929618,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.775437,8.681603,6.132371
1094,3.306689,2,0.299970,0.000000,-11.918565,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.772682,8.680488,6.132371
1095,3.319255,2,0.312535,0.000000,-11.907389,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.768611,8.677885,6.132371
1096,3.331691,2,0.324971,0.000000,-11.896323,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.764585,8.675313,6.132371
1097,3.345446,2,0.338726,0.000000,-11.885465,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.766338,8.673631,6.132371
1098,3.358039,2,0.351320,0.000000,-11.875687,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.768704,8.672226,6.132371
1099,3.370163,2,0.363443,0.000000,-11.865934,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.770275,8.670269,6.132371
1100,3.382472,2,0.375752,0.000000,-11.855214,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.770082,8.666745,6.132371
1101,3.394335,2,0.387616,0.000000,-11.844864,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.769896,8.663349,6.132371
1102,3.406966,2,0.400247,0.000000,-11.830659,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.766478,8.663158,6.132371
1103,3.419266,2,0.412546,0.000000,-11.814283,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.760592,8.665679,6.132371
1104,3.432115,2,0.425396,0.000000,-11.797174,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.754443,8.668313,6.132371
1105,3.444995,2,0.438276,0.000000,-11.774653,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.753076,8.671953,6.132371
1106,3.457878,2,0.451158,0.000000,-11.751563,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.752209,8.675698,6.132371
1107,3.470661,2,0.463942,0.000000,-11.740269,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.752659,8.678732,6.132371
1108,3.482236,2,0.475517,0.000000,-11.753167,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.755660,8.680107,6.132371
1109,3.494380,2,0.487660,0.000000,-11.766692,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.758827,8.681557,6.132371
1110,3.508148,2,0.501429,0.000000,-11.771414,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.762805,8.679821,6.132371
1111,3.521660,2,0.514940,0.000000,-11.768854,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.766981,8.675833,6.132371
