frame,time,phase,age,camera_pitch,barrel_pitch,sample_pitch,aim_weight,jump_weight,x,y,z,foot_x,foot_y,foot_z
1102,3.215757,2,0.202552,0.000000,11.986100,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.772080,8.682247,6.132371
1103,3.227644,2,0.214440,0.000000,11.983317,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.773749,8.682043,6.132371
1104,3.239213,2,0.226008,0.000000,11.977066,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.775207,8.681660,6.132371
1105,3.250569,2,0.237364,0.000000,11.967560,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.776483,8.681107,6.132371
1106,3.262195,2,0.248991,0.000000,11.957826,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777784,8.680540,6.132371
1107,3.274270,2,0.261065,0.000000,11.947344,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777503,8.680676,6.132371
1108,3.285109,2,0.271904,0.000000,11.937732,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.776380,8.681177,6.132371
1109,3.296170,2,0.282965,0.000000,11.927909,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.775238,8.681688,6.132371
1110,3.307494,2,0.294289,0.000000,11.917850,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.772414,8.680314,6.132371
1111,3.318787,2,0.305582,0.000000,11.907808,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.768767,8.677987,6.132371
1112,3.329851,2,0.316646,0.000000,11.897962,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.765183,8.675696,6.132371
1113,3.340780,2,0.327575,0.000000,11.889081,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.765456,8.674148,6.132371
1114,3.352180,2,0.338975,0.000000,11.880238,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.767604,8.672878,6.132371
1115,3.363303,2,0.350098,0.000000,11.871592,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.769694,8.671642,6.132371
1116,3.375377,2,0.362173,0.000000,11.861388,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.770191,8.668775,6.132371
1117,3.386880,2,0.373676,0.000000,11.851369,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.770014,8.665484,6.132371
1118,3.397622,2,0.384418,0.000000,11.842000,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.769846,8.662407,6.132371
1119,3.408292,2,0.395088,0.000000,11.828890,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.765843,8.663429,6.132371
1120,3.419544,2,0.406340,0.000000,11.813915,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.760458,8.665736,6.132371
1121,3.430955,2,0.417751,0.000000,11.798725,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.754999,8.668075,6.132371
1122,3.442677,2,0.429472,0.000000,11.778812,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.753232,8.671278,6.132371
1123,3.454484,2,0.441280,0.000000,11.757643,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.752437,8.674712,6.132371
1124,3.466311,2,0.453107,0.000000,11.736445,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.751641,8.678151,6.132371
1125,3.477157,2,0.463953,0.000000,11.747497,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.754334,8.679500,6.132371
1126,3.488667,2,0.475462,0.000000,11.760326,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.757340,8.680874,6.132371
