frame,time,phase,age,actor_x,actor_y,actor_z,left_x,left_y,left_z,right_x,right_y,right_z,pelvis_z,left_weight,right_weight,max_contact_error
985,1.902253,1,1.897607,-1000.0000,-900.0000,1088.0000,-991.7759,-918.8032,1007.8258,-1021.2647,-895.2952,1007.8263,1088.3783,1.0000,1.0000,0.0000
986,1.915190,1,1.910544,-1000.0000,-900.0000,1088.0000,-991.7769,-918.7997,1007.8258,-1021.2660,-895.2936,1007.8263,1088.3774,1.0000,1.0000,0.0000
987,1.928587,1,1.923941,-1000.0000,-900.0000,1088.0000,-991.7731,-918.7995,1007.8258,-1021.2645,-895.2949,1007.8263,1088.3765,1.0000,1.0000,0.0000
988,1.941410,1,1.936765,-1000.0000,-900.0000,1088.0000,-991.7690,-918.7996,1007.8258,-1021.2628,-895.2965,1007.8263,1088.3757,1.0000,1.0000,0.0000
989,1.953804,1,1.949158,-1000.0000,-900.0000,1088.0000,-991.7662,-918.7987,1007.8258,-1021.2618,-895.2969,1007.8263,1088.3753,1.0000,1.0000,0.0000
990,1.966646,1,1.962000,-1000.0000,-900.0000,1088.0000,-991.7661,-918.7954,1007.8258,-1021.2622,-895.2946,1007.8263,1088.3756,1.0000,1.0000,0.0000
991,1.980302,1,1.975656,-1000.0000,-900.0000,1088.0000,-991.7659,-918.7919,1007.8258,-1021.2627,-895.2922,1007.8263,1088.3760,1.0000,1.0000,0.0000
992,1.993219,1,1.988573,-1000.0000,-900.0000,1088.0000,-991.7668,-918.7901,1007.8258,-1021.2627,-895.2926,1007.8263,1088.3762,1.0000,1.0000,0.0000
993,2.005285,1,2.000639,-1000.0000,-900.0000,1088.0000,-991.7679,-918.7890,1007.8258,-1021.2625,-895.2937,1007.8263,1088.3763,1.0000,1.0000,0.0000
994,2.018232,1,2.013586,-1000.0000,-900.0000,1088.0000,-991.7689,-918.7878,1007.8258,-1021.2626,-895.2946,1007.8263,1088.3762,1.0000,1.0000,0.0000
995,2.418232,2,0.000000,-1000.0000,-900.0000,1088.0000,-991.7604,-918.7775,1007.3149,-1021.2640,-895.2771,1007.2237,1088.3601,0.0000,0.0000,11.0058
